LOW,HIGH,t5_DESI_COUNT,t5_EXCEPT_COUNT,t3_220M_COUNT,t3_17M_COUNT,t3_33M_COUNT,t5_BOSS_COUNT
1.691256322141091E-4,1.704469262157818E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.7044692621578163E-4,1.7177854282684238E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.7177854282684254E-4,1.731205626926772E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.731205626926774E-4,1.7447306708871386E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.744730670887137E-4,1.758361379253442E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.758361379253444E-4,1.7720985775288608E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.7720985775288627E-4,1.7859430976658065E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.7859430976658046E-4,1.7998957781163182E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.79989577811632E-4,1.8139574638828532E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.8139574638828516E-4,1.8281290065694358E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.8281290065694374E-4,1.8424112644332608E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.8424112644332627E-4,1.856805102436647E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.856805102436647E-4,1.8713113922994327E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.8713113922994327E-4,1.8859310125517715E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.8859310125517734E-4,1.9006648485873337E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.9006648485873315E-4,1.9155137927169197E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.9155137927169216E-4,1.930478744222522E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.930478744222524E-4,1.9455606094117618E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.94556060941176E-4,1.9607603016727886E-4,0.0,0.0,0.0,0.0,0.0,0.0
